Year	State	Electoral	DEMOCRAT	LIBERTARIAN	OTHER	REPUBLICAN	Winer	Electoral Democrat	Electoral Republican
1980	MS	6	429281.0	4702.0	16678.0	441089.0	REPUBLICAN	0	6
1980	MT	3	118032.0	9825.0	29281.0	206814.0	REPUBLICAN	0	3
1980	NC	15	875635.0	9677.0	55503.0	915018.0	REPUBLICAN	0	15
1980	ND	3	79189.0	3743.0	24489.0	193695.0	REPUBLICAN	0	3
1980	NE	5	166424.0	9041.0	44854.0	419214.0	REPUBLICAN	0	5
1980	NH	4	108864.0	2064.0	51357.0	221705.0	REPUBLICAN	0	4
1980	NJ	14	1147364.0	20652.0	261111.0	1546557.0	REPUBLICAN	0	14
1980	NM	5	167826.0	4365.0	33267.0	250779.0	REPUBLICAN	0	5
1980	NV	6	66666.0	4358.0	17651.0	155017.0	REPUBLICAN	0	6
1980	NY	29	2728372.0	0.0	835887.0	2637700.0	DEMOCRAT	29	0
1980	OH	18	1752414.0	49033.0	275611.0	2206545.0	REPUBLICAN	0	18
1980	OK	7	402026.0	13828.0	38284.0	695570.0	REPUBLICAN	0	7
1980	OR	7	456890.0	25838.0	127744.0	571044.0	REPUBLICAN	0	7
1980	PA	20	1937540.0	33263.0	328826.0	2261872.0	REPUBLICAN	0	20
1980	RI	4	198342.0	2458.0	60374.0	154793.0	DEMOCRAT	4	0
1980	SC	9	428220.0	4807.0	15954.0	439277.0	REPUBLICAN	0	9
1980	SD	3	103855.0	3824.0	21681.0	198343.0	REPUBLICAN	0	3
1980	TN	11	783051.0	7116.0	39688.0	787761.0	REPUBLICAN	0	11
1980	TX	38	1881147.0	37643.0	112141.0	2510705.0	REPUBLICAN	0	38
1980	UT	6	124266.0	7156.0	33043.0	439687.0	REPUBLICAN	0	6
1980	VA	13	752174.0	12821.0	111428.0	989609.0	REPUBLICAN	0	13
1980	VT	3	81952.0	1900.0	34819.0	94628.0	REPUBLICAN	0	3
1980	WA	12	650193.0	29213.0	197744.0	865244.0	REPUBLICAN	0	12
1980	WI	10	981584.0	29135.0	173657.0	1088845.0	REPUBLICAN	0	10
1980	WV	5	367462.0	4356.0	31691.0	334206.0	DEMOCRAT	5	0
1980	WY	3	49427.0	4514.0	12072.0	110700.0	REPUBLICAN	0	3
1984	AK	3	62007.0	6378.0	843.0	138377.0	REPUBLICAN	0	3
1984	AL	9	551899.0	9504.0	7461.0	872849.0	REPUBLICAN	0	9
1984	AR	6	338646.0	2221.0	8765.0	534774.0	REPUBLICAN	0	6
1984	AZ	11	333854.0	10585.0	42.0	681416.0	REPUBLICAN	0	11
1984	CA	55	3922519.0	49951.0	65562.0	5467009.0	REPUBLICAN	0	55
1984	CO	9	454975.0	11257.0	7331.0	821817.0	REPUBLICAN	0	9
1984	CT	7	569597.0	0.0	6426.0	890877.0	REPUBLICAN	0	7
1984	DC	3	180408.0	279.0	1592.0	29009.0	DEMOCRAT	3	0
1984	DE	3	101656.0	268.0	458.0	152190.0	REPUBLICAN	0	3
1984	FL	29	1448816.0	0.0	885.0	2730350.0	REPUBLICAN	0	29
1984	GA	16	706628.0	0.0	753.0	1068722.0	REPUBLICAN	0	16
1984	HI	4	147154.0	2167.0	1475.0	185050.0	REPUBLICAN	0	4
1984	IA	6	605620.0	1844.0	9253.0	703088.0	REPUBLICAN	0	6
1984	ID	4	108510.0	2823.0	2288.0	297523.0	REPUBLICAN	0	4
1984	IL	20	2086499.0	10086.0	15400.0	2707103.0	REPUBLICAN	0	20
1984	IN	11	841481.0	6741.0	7617.0	1377230.0	REPUBLICAN	0	11
1984	KS	6	333149.0	3329.0	8217.0	677296.0	REPUBLICAN	0	6
1984	KY	8	539539.0	0.0	8104.0	821702.0	REPUBLICAN	0	8
1984	LA	8	651586.0	1876.0	16061.0	1037299.0	REPUBLICAN	0	8
1984	MA	11	1239606.0	0.0	8841.0	1310936.0	REPUBLICAN	0	11
1984	MD	10	787935.0	5721.0	2299.0	879918.0	REPUBLICAN	0	10
1984	ME	4	214515.0	0.0	2129.0	336500.0	REPUBLICAN	0	4
1984	MI	16	1529638.0	10055.0	10394.0	2251571.0	REPUBLICAN	0	16
1984	MN	10	1036364.0	2996.0	12486.0	1032603.0	DEMOCRAT	10	0
1984	MO	10	848583.0	0.0	0.0	1274188.0	REPUBLICAN	0	10
1984	MS	6	352192.0	2336.0	4199.0	582377.0	REPUBLICAN	0	6
1984	MT	3	146742.0	5185.0	0.0	232450.0	REPUBLICAN	0	3
1984	NC	15	824287.0	3794.0	799.0	1346481.0	REPUBLICAN	0	15
1984	ND	3	104429.0	703.0	3503.0	200336.0	REPUBLICAN	0	3
1984	NE	5	187866.0	2079.0	2091.0	460054.0	REPUBLICAN	0	5
1984	NH	4	120347.0	735.0	772.0	267050.0	REPUBLICAN	0	4
1984	NJ	14	1261323.0	6416.0	16493.0	1933630.0	REPUBLICAN	0	14
1984	NM	5	201769.0	4459.0	1041.0	307101.0	REPUBLICAN	0	5
1984	NV	6	91655.0	2292.0	0.0	188770.0	REPUBLICAN	0	6
1984	NY	29	3001285.0	11949.0	417057.0	3376519.0	REPUBLICAN	0	29
1984	OH	18	1825440.0	5886.0	53350.0	2678559.0	REPUBLICAN	0	18
1984	OK	7	385080.0	9066.0	0.0	861530.0	REPUBLICAN	0	7
1984	OR	7	536479.0	0.0	4348.0	685700.0	REPUBLICAN	0	7
1984	PA	20	2228131.0	6982.0	25467.0	2584323.0	REPUBLICAN	0	20
1984	RI	4	197106.0	277.0	1026.0	212080.0	REPUBLICAN	0	4
1984	SC	9	344459.0	4359.0	4172.0	615539.0	REPUBLICAN	0	9
1984	SD	3	116113.0	0.0	1487.0	200267.0	REPUBLICAN	0	3
1984	TN	11	711714.0	3072.0	6995.0	990212.0	REPUBLICAN	0	11
1984	TX	38	1949276.0	0.0	14867.0	3433428.0	REPUBLICAN	0	38
1984	UT	6	155369.0	2447.0	2735.0	469105.0	REPUBLICAN	0	6
1984	VA	13	796250.0	0.0	13307.0	1337078.0	REPUBLICAN	0	13
1984	VT	3	95730.0	1002.0	1964.0	135865.0	REPUBLICAN	0	3
1984	WA	12	798352.0	8844.0	16044.0	1051670.0	REPUBLICAN	0	12
1984	WI	10	995740.0	4883.0	12482.0	1198584.0	REPUBLICAN	0	10
1984	WV	5	328125.0	0.0	2134.0	405483.0	REPUBLICAN	0	5
1984	WY	3	53370.0	2357.0	0.0	133241.0	REPUBLICAN	0	3
1988	AK	3	72584.0	5484.0	2797.0	119251.0	REPUBLICAN	0	3
1988	AL	9	549506.0	8460.0	4934.0	815576.0	REPUBLICAN	0	9
1988	AR	6	349237.0	3297.0	8626.0	466578.0	REPUBLICAN	0	6
1988	AZ	11	454029.0	13351.0	1952.0	702541.0	REPUBLICAN	0	11
1988	CA	55	4702233.0	70105.0	59810.0	5054917.0	REPUBLICAN	0	55
1988	CO	9	621453.0	15482.0	7282.0	728177.0	REPUBLICAN	0	9
1988	CT	7	676584.0	14071.0	2498.0	750241.0	REPUBLICAN	0	7
1988	DC	3	159407.0	554.0	5326.0	27590.0	DEMOCRAT	3	0
1988	DE	3	108647.0	1162.0	443.0	139639.0	REPUBLICAN	0	3
1988	FL	29	1656701.0	19796.0	6931.0	2618885.0	REPUBLICAN	0	29
1988	GA	16	714792.0	8435.0	5114.0	1081331.0	REPUBLICAN	0	16
1988	HI	4	192364.0	1999.0	1473.0	158625.0	DEMOCRAT	4	0
1988	IA	6	670557.0	2494.0	7208.0	545355.0	DEMOCRAT	6	0
1988	ID	4	147272.0	5313.0	2502.0	253881.0	REPUBLICAN	0	4
1988	IL	20	2215940.0	14944.0	17297.0	2310939.0	REPUBLICAN	0	20
1988	IN	11	860643.0	0.0	10215.0	1297763.0	REPUBLICAN	0	11
1988	KS	6	422636.0	0.0	16359.0	554049.0	REPUBLICAN	0	6
1988	KY	8	580368.0	2118.0	5750.0	734281.0	REPUBLICAN	0	8
1988	LA	8	717460.0	4115.0	22925.0	883702.0	REPUBLICAN	0	8
1988	MA	11	1401415.0	24251.0	12500.0	1194635.0	DEMOCRAT	11	0
1988	MD	10	826304.0	6748.0	5139.0	876167.0	REPUBLICAN	0	10
1988	ME	4	243569.0	2700.0	1635.0	307131.0	REPUBLICAN	0	4
1988	MI	16	1675783.0	18336.0	9558.0	1965486.0	REPUBLICAN	0	16
1988	MN	10	1109471.0	5109.0	19873.0	962337.0	DEMOCRAT	10	0
1988	MO	10	1001619.0	0.0	6656.0	1084953.0	REPUBLICAN	0	10
1988	MS	6	363921.0	3329.0	6387.0	557890.0	REPUBLICAN	0	6
1988	MT	3	168936.0	5047.0	1279.0	190412.0	REPUBLICAN	0	3
1988	NC	15	890167.0	0.0	6945.0	1237258.0	REPUBLICAN	0	15
1988	ND	3	127739.0	1315.0	1648.0	166559.0	REPUBLICAN	0	3
1988	NE	5	259235.0	2534.0	1740.0	397956.0	REPUBLICAN	0	5
1988	NH	4	163696.0	4502.0	790.0	281537.0	REPUBLICAN	0	4
1988	NJ	14	1320352.0	8421.0	27588.0	1743192.0	REPUBLICAN	0	14
1988	NM	5	244497.0	3368.0	3181.0	270341.0	REPUBLICAN	0	5
1988	NV	6	132738.0	3520.0	835.0	206040.0	REPUBLICAN	0	6
1988	NY	29	3255487.0	12109.0	379673.0	2838414.0	DEMOCRAT	29	0
1988	OH	18	1939629.0	11926.0	25481.0	2416549.0	REPUBLICAN	0	18
1988	OK	7	483423.0	6261.0	2985.0	678367.0	REPUBLICAN	0	7
1988	OR	7	616206.0	14811.0	10551.0	560126.0	DEMOCRAT	7	0
1988	PA	20	2194944.0	12051.0	29169.0	2300087.0	REPUBLICAN	0	20
1988	RI	4	225123.0	825.0	913.0	177761.0	DEMOCRAT	4	0
1988	SC	9	370554.0	4935.0	4077.0	606443.0	REPUBLICAN	0	9
1988	SD	3	145560.0	0.0	2016.0	165415.0	REPUBLICAN	0	3
1988	TN	11	679794.0	0.0	9223.0	947233.0	REPUBLICAN	0	11
1988	TX	38	2352748.0	30355.0	7478.0	3036829.0	REPUBLICAN	0	38
1988	UT	6	207343.0	7473.0	3750.0	428442.0	REPUBLICAN	0	6
1988	VA	13	859799.0	8336.0	14312.0	1309162.0	REPUBLICAN	0	13
1988	VT	3	115775.0	1000.0	2222.0	124331.0	REPUBLICAN	0	3
1988	WA	12	933516.0	17240.0	10662.0	903835.0	DEMOCRAT	12	0
1988	WI	10	1126794.0	0.0	17315.0	1047499.0	DEMOCRAT	10	0
1988	WV	5	341016.0	0.0	2230.0	310065.0	DEMOCRAT	5	0
1988	WY	3	67113.0	2026.0	545.0	106867.0	REPUBLICAN	0	3
1992	AK	3	78294.0	1378.0	76834.0	102000.0	REPUBLICAN	0	3
1992	AL	9	690080.0	5737.0	187960.0	804283.0	REPUBLICAN	0	9
1992	AR	6	505823.0	0.0	107506.0	337324.0	DEMOCRAT	6	0
1992	AZ	11	543050.0	6759.0	365080.0	572086.0	REPUBLICAN	0	11
1992	CA	55	5121325.0	48139.0	2331683.0	3630574.0	DEMOCRAT	55	0
1992	CO	9	629681.0	8669.0	367980.0	562850.0	DEMOCRAT	9	0
1992	CT	7	682318.0	5391.0	350134.0	578313.0	DEMOCRAT	7	0
1992	DC	3	192619.0	467.0	13788.0	20698.0	DEMOCRAT	3	0
1992	DE	3	126054.0	935.0	60318.0	102313.0	DEMOCRAT	3	0
1992	FL	29	2071698.0	15079.0	1053305.0	2173310.0	REPUBLICAN	0	29
1992	GA	16	1008966.0	7110.0	309805.0	995252.0	DEMOCRAT	16	0
1992	HI	4	179310.0	1119.0	55591.0	136822.0	DEMOCRAT	4	0
1992	IA	6	586353.0	1076.0	262287.0	504891.0	DEMOCRAT	6	0
1992	ID	4	137013.0	1167.0	141289.0	202645.0	REPUBLICAN	0	4
1992	IL	20	2453350.0	9218.0	853493.0	1734096.0	DEMOCRAT	20	0
1992	IN	11	848420.0	7936.0	460140.0	989375.0	REPUBLICAN	0	11
1992	KS	6	390434.0	4314.0	312537.0	449951.0	REPUBLICAN	0	6
1992	KY	8	665104.0	4513.0	206105.0	617178.0	DEMOCRAT	8	0
1992	LA	8	815971.0	3155.0	237505.0	733386.0	DEMOCRAT	8	0
1992	MA	11	1318639.0	9021.0	640965.0	805039.0	DEMOCRAT	11	0
1992	MD	10	988571.0	4715.0	284200.0	707094.0	DEMOCRAT	10	0
1992	ME	4	263420.0	1681.0	207894.0	206504.0	DEMOCRAT	4	0
1992	MI	16	1871182.0	10175.0	838376.0	1554940.0	DEMOCRAT	16	0
1992	MN	10	1020997.0	3374.0	575736.0	747841.0	DEMOCRAT	10	0
1992	MO	10	1053873.0	7497.0	518741.0	811159.0	DEMOCRAT	10	0
1992	MS	6	400258.0	2154.0	91588.0	487793.0	REPUBLICAN	0	6
1992	MT	3	154507.0	986.0	110883.0	144207.0	DEMOCRAT	3	0
1992	NC	15	1114042.0	5171.0	357976.0	1134661.0	REPUBLICAN	0	15
1992	ND	3	99168.0	0.0	72721.0	136244.0	REPUBLICAN	0	3
1992	NE	5	216864.0	1340.0	175664.0	343678.0	REPUBLICAN	0	5
1992	NH	4	209040.0	3548.0	122143.0	202484.0	DEMOCRAT	4	0
1992	NJ	14	1436206.0	6822.0	543701.0	1356865.0	DEMOCRAT	14	0
1992	NM	5	261617.0	1615.0	93930.0	212824.0	DEMOCRAT	5	0
1992	NV	6	189148.0	1835.0	139507.0	175828.0	DEMOCRAT	6	0
1992	NY	29	3346894.0	13451.0	1677397.0	2041690.0	DEMOCRAT	29	0
1992	OH	18	1984942.0	0.0	1060715.0	1894310.0	DEMOCRAT	18	0
1992	OK	7	473066.0	4486.0	319878.0	592929.0	REPUBLICAN	0	7
1992	OR	7	621314.0	4277.0	361295.0	475757.0	DEMOCRAT	7	0
1992	PA	20	2239164.0	21477.0	907328.0	1791841.0	DEMOCRAT	20	0
1992	RI	4	213299.0	571.0	107894.0	131601.0	DEMOCRAT	4	0
1992	SC	9	525514.0	2719.0	123172.0	577507.0	REPUBLICAN	0	9
1992	SD	3	124888.0	814.0	73834.0	136718.0	REPUBLICAN	0	3
1992	TN	11	933521.0	0.0	207817.0	841300.0	DEMOCRAT	11	0
1992	TX	38	2281815.0	19699.0	1356433.0	2496071.0	REPUBLICAN	0	38
1992	UT	6	183429.0	1900.0	236037.0	322632.0	REPUBLICAN	0	6
1992	VA	13	1038650.0	5730.0	364232.0	1150517.0	REPUBLICAN	0	13
1992	VT	3	133592.0	501.0	67486.0	88122.0	DEMOCRAT	3	0
1992	WA	12	993037.0	7533.0	555761.0	731234.0	DEMOCRAT	12	0
1992	WI	10	1041066.0	2877.0	556266.0	930855.0	DEMOCRAT	10	0
1992	WV	5	331001.0	1873.0	108829.0	241974.0	DEMOCRAT	5	0
1992	WY	3	68160.0	844.0	51533.0	79347.0	REPUBLICAN	0	3
1996	AK	3	80380.0	2276.0	36218.0	122746.0	REPUBLICAN	0	3
1996	AL	9	662165.0	5290.0	97850.0	769044.0	REPUBLICAN	0	9
1996	AR	6	475171.0	3076.0	80599.0	325416.0	DEMOCRAT	6	0
1996	AZ	11	653288.0	14358.0	114686.0	622073.0	DEMOCRAT	11	0
1996	CA	55	5119835.0	73600.0	997653.0	3828381.0	DEMOCRAT	55	0
1996	CO	9	671152.0	12392.0	135310.0	691848.0	REPUBLICAN	0	9
1996	CT	7	735740.0	5788.0	167977.0	483109.0	DEMOCRAT	7	0
1996	DC	3	158220.0	588.0	9579.0	17339.0	DEMOCRAT	3	0
1996	DE	3	140355.0	2052.0	29341.0	99062.0	DEMOCRAT	3	0
1996	FL	29	2546870.0	23326.0	488422.0	2244536.0	DEMOCRAT	29	0
1996	GA	16	1053849.0	17870.0	146337.0	1080843.0	REPUBLICAN	0	16
1996	HI	4	205012.0	2493.0	38672.0	113943.0	DEMOCRAT	4	0
1996	IA	6	620258.0	2315.0	118858.0	492644.0	DEMOCRAT	6	0
1996	ID	4	165443.0	3325.0	66348.0	256595.0	REPUBLICAN	0	4
1996	IL	20	2341744.0	22548.0	360078.0	1587021.0	DEMOCRAT	20	0
1996	IN	11	887424.0	15632.0	225682.0	1006693.0	REPUBLICAN	0	11
1996	KS	6	387659.0	4557.0	98839.0	583245.0	REPUBLICAN	0	6
1996	KY	8	636614.0	4009.0	124802.0	623283.0	DEMOCRAT	8	0
1996	LA	8	927837.0	7499.0	136037.0	712586.0	DEMOCRAT	8	0
1996	MA	11	1571509.0	20424.0	246468.0	718058.0	DEMOCRAT	11	0
1996	MD	10	966207.0	8765.0	124368.0	681530.0	DEMOCRAT	10	0
1996	ME	4	312788.0	2996.0	103735.0	186378.0	DEMOCRAT	4	0
1996	MI	16	1989653.0	27670.0	350309.0	1481212.0	DEMOCRAT	16	0
1996	MN	10	1120380.0	8271.0	297446.0	766395.0	DEMOCRAT	10	0
1996	MO	10	1025935.0	10522.0	231592.0	890016.0	DEMOCRAT	10	0
1996	MS	6	394022.0	2809.0	57188.0	439838.0	REPUBLICAN	0	6
1996	MT	3	167922.0	2526.0	56983.0	179652.0	REPUBLICAN	0	3
1996	NC	15	1107849.0	8740.0	173280.0	1225938.0	REPUBLICAN	0	15
1996	ND	3	106905.0	847.0	33609.0	125050.0	REPUBLICAN	0	3
1996	NE	5	236761.0	2792.0	74395.0	363467.0	REPUBLICAN	0	5
1996	NH	4	246166.0	4214.0	49731.0	196486.0	DEMOCRAT	4	0
1996	NJ	14	1652361.0	0.0	320400.0	1103099.0	DEMOCRAT	14	0
1996	NM	5	273495.0	2996.0	46832.0	232751.0	DEMOCRAT	5	0
1996	NV	6	203974.0	4460.0	56601.0	199244.0	DEMOCRAT	6	0
1996	NY	29	3649630.0	12220.0	1038572.0	1738707.0	DEMOCRAT	29	0
1996	OH	18	2148222.0	12851.0	513478.0	1859883.0	DEMOCRAT	18	0
1996	OK	7	488105.0	5505.0	130788.0	582315.0	REPUBLICAN	0	7
1996	OR	7	649641.0	8903.0	181064.0	538152.0	DEMOCRAT	7	0
1996	PA	20	2215819.0	28000.0	456319.0	1801169.0	DEMOCRAT	20	0
1996	RI	4	233050.0	1109.0	51405.0	104683.0	DEMOCRAT	4	0
1996	SC	9	506152.0	4271.0	66420.0	573339.0	REPUBLICAN	0	9
1996	SD	3	139333.0	1472.0	32478.0	150543.0	REPUBLICAN	0	3
1996	TN	11	909146.0	0.0	121429.0	863530.0	DEMOCRAT	11	0
1996	TX	38	2459683.0	20256.0	395538.0	2736167.0	REPUBLICAN	0	38
1996	UT	6	221633.0	4129.0	77956.0	361911.0	REPUBLICAN	0	6
1996	VA	13	1091060.0	9174.0	178058.0	1138350.0	REPUBLICAN	0	13
1996	VT	3	137894.0	1183.0	39020.0	80352.0	DEMOCRAT	3	0
1996	WA	12	1123323.0	12522.0	277280.0	840712.0	DEMOCRAT	12	0
1996	WI	10	1071971.0	7929.0	271240.0	845029.0	DEMOCRAT	10	0
1996	WV	5	327812.0	3062.0	71639.0	233946.0	DEMOCRAT	5	0
1996	WY	3	77934.0	1739.0	26510.0	105388.0	REPUBLICAN	0	3
2000	AK	3	79004.0	2636.0	36522.0	167398.0	REPUBLICAN	0	3
2000	AL	9	692611.0	5893.0	26595.0	941173.0	REPUBLICAN	0	9
2000	AR	6	422768.0	2781.0	23292.0	472940.0	REPUBLICAN	0	6
2000	AZ	11	685341.0	5775.0	59248.0	781652.0	REPUBLICAN	0	11
2000	CA	55	5861203.0	45520.0	491670.0	4567429.0	DEMOCRAT	55	0
2000	CO	9	738227.0	12799.0	106594.0	883748.0	REPUBLICAN	0	9
2000	CT	7	816015.0	3484.0	78932.0	561094.0	DEMOCRAT	7	0
2000	DC	3	171923.0	669.0	11229.0	18073.0	DEMOCRAT	3	0
2000	DE	3	180068.0	774.0	9399.0	137288.0	DEMOCRAT	3	0
2000	FL	29	2912253.0	16415.0	121652.0	2912790.0	REPUBLICAN	0	29
2000	GA	16	1116230.0	36332.0	10926.0	1419720.0	REPUBLICAN	0	16
2000	HI	4	205286.0	1477.0	23343.0	137845.0	DEMOCRAT	4	0
2000	IA	6	638517.0	3209.0	76923.0	634373.0	DEMOCRAT	6	0
2000	ID	4	138637.0	3488.0	22553.0	336937.0	REPUBLICAN	0	4
2000	IL	20	2589026.0	11623.0	122038.0	2019421.0	DEMOCRAT	20	0
2000	IN	11	901980.0	15530.0	35956.0	1245836.0	REPUBLICAN	0	11
2000	KS	6	399276.0	4525.0	46083.0	622332.0	REPUBLICAN	0	6
2000	KY	8	638923.0	2885.0	29778.0	872520.0	REPUBLICAN	0	8
2000	LA	8	792344.0	2951.0	42490.0	927871.0	REPUBLICAN	0	8
2000	MA	11	1616487.0	16366.0	222609.0	878502.0	DEMOCRAT	11	0
2000	MD	10	1144008.0	5310.0	62067.0	813827.0	DEMOCRAT	10	0
2000	ME	4	319951.0	3074.0	42176.0	286616.0	DEMOCRAT	4	0
2000	MI	16	2170418.0	16711.0	92233.0	1953139.0	DEMOCRAT	16	0
2000	MN	10	1168266.0	5282.0	155478.0	1109659.0	DEMOCRAT	10	0
2000	MO	10	1111138.0	7436.0	51394.0	1189924.0	REPUBLICAN	0	10
2000	MS	6	404614.0	2009.0	14717.0	572844.0	REPUBLICAN	0	6
2000	MT	3	137126.0	1718.0	31964.0	240178.0	REPUBLICAN	0	3
2000	NC	15	1257692.0	13891.0	12244.0	1631163.0	REPUBLICAN	0	15
2000	ND	3	95284.0	0.0	18120.0	174852.0	REPUBLICAN	0	3
